Tempo;Ocupação;E[N];E[W];Erro Little;Lambda
100;0,938331;13,993224;0,139932;1,76356707E-11;100
200;0,943126;15,800541;0,157258;4,47286652E-12;100,475
300;0,953073;16,886955;0,167974;-1,0778933301E-10;100,533333
400;0,948503;15,998625;0,159647;-3,427302886E-11;100,2125
500;0,948743;15,762006;0,157211;-2,2263790811E-10;100,26
600;0,946467;15,049675;0,150497;-2,6736834968E-10;100
700;0,946422;14,902651;0,148854;-1,7532464369E-10;100,115714
800;0,945132;14,580934;0,145645;1,1019984925E-10;100,1125
900;0,944986;14,522396;0,144995;5,2157922426E-10;100,157778
1000;0,943785;14,360047;0,14357;4,5955239614E-10;100,021
1100;0,942587;14,199641;0,142079;4,4273562594E-10;99,941818
1200;0,941986;14,186372;0,141912;2,913456143E-10;99,965833
1300;0,943882;15,721523;0,157201;-1,5787016139E-10;100,009231
1400;0,943646;15,432771;0,154331;-6,9011285575E-10;99,997857
1500;0,942852;15,281766;0,152864;-4,1915271254E-10;99,97
1600;0,942349;14,937991;0,149631;-3,0144597929E-10;99,831875
1700;0,942751;14,987909;0,150095;9,075051821E-11;99,855882
1800;0,943338;15,256883;0,152747;-3,0718183552E-10;99,883333
1900;0,943868;15,282772;0,15306;-2,7409896575E-10;99,848421
2000;0,943779;15,196451;0,152258;-3,3518965381E-10;99,807
2100;0,944858;16,021732;0,160318;-3,4069103094E-10;99,937143
2200;0,945588;15,966044;0,159692;-6,8461858405E-10;99,98
2300;0,945961;16,069739;0,160705;-3,2495250935E-10;99,995217
2400;0,946216;16,209357;0,162127;-6,251035245E-10;99,979583
2500;0,946417;16,389931;0,163882;-7,6323303233E-10;100,0104
2600;0,94673;16,227886;0,162255;7,6550676908E-10;100,015
2700;0,947393;16,306095;0,162981;1,40667566484E-09;100,049259
2800;0,948138;16,504825;0,164875;1,89847426668E-09;100,105
2900;0,948274;16,6422;0,166222;1,37690392421E-09;100,120345
3000;0,947875;16,63426;0,166196;6,1941207719E-10;100,088
3100;0,948704;17,112235;0,170976;2,0251889055E-10;100,085484
3200;0,948975;17,064718;0,170503;-7,3207218065E-10;100,084688
3300;0,948803;16,958971;0,16948;-3,17449888598E-09;100,064545
3400;0,948821;16,917078;0,169057;-3,49790596488E-09;100,067059
3500;0,949266;16,975006;0,169653;-4,8696193744E-09;100,057143
3600;0,949527;17,031258;0,170258;-5,93874460719E-09;100,031944
