Tempo;Ocupação;E[N];E[W];Erro Little;Lambda
100;0,229384;0,175878;17,587776;0;0,01
200;1,278833;0,641557;32,077843;-1,1102E-16;0,02
300;0,852555;1,212865;72,771876;2,2204E-16;0,016667
400;0,699363;1,517474;121,397894;0;0,0125
500;0,670598;1,233549;102,795759;0;0,012
600;0,99355;1,254884;107,561493;0;0,011667
700;0,851615;1,349891;118,115427;-2,2204E-16;0,011429
800;0,745163;1,442043;115,363417;-2,2204E-16;0,0125
900;0,813931;1,600868;110,829291;-4,4409E-16;0,014444
1000;0,80817;1,778722;127,051606;4,4409E-16;0,014
1100;0,813935;1,802092;141,592933;4,4409E-16;0,012727
1200;0,898421;1,726746;138,139716;4,4409E-16;0,0125
1300;0,836127;1,698232;137,981329;-6,6613E-16;0,012308
1400;0,776404;1,582387;138,458849;-2,2204E-16;0,011429
1500;0,780667;1,536107;121,271587;6,6613E-16;0,012667
1600;0,731875;1,44085;121,334738;1,11022E-15;0,011875
1700;0,758676;1,463537;108,17446;2,22045E-15;0,013529
1800;0,763505;1,514648;118,537655;1,11022E-15;0,012778
1900;0,826611;1,473194;116,627852;2,44249E-15;0,012632
2000;0,78528;1,449534;120,794518;2,22045E-15;0,012
2100;0,750983;1,416642;118,997888;1,55431E-15;0,011905
2200;0,73853;1,365782;111,285913;-2,2204E-16;0,012273
2300;0,739461;1,330029;105,485091;0;0,012609
2400;0,784445;1,381852;103,638895;-2,88658E-15;0,013333
2500;0,753067;1,536022;106,668194;-1,11022E-15;0,0144
2600;0,773827;1,708946;120,088087;-1,33227E-15;0,014231
2700;0,779753;1,796588;131,102372;4,4409E-16;0,013704
2800;0,805469;1,782295;131,326968;-2,2204E-16;0,013571
2900;0,777695;1,754263;133,877959;-1,33227E-15;0,013103
3000;0,769521;1,713537;131,810564;2,2204E-16;0,013
3100;0,77754;1,670989;129,501657;1,55431E-15;0,012903
3200;0,838968;1,677115;127,780169;0;0,013125
3300;0,813545;1,696266;130,17855;-1,55431E-15;0,01303
3400;0,789617;1,762292;133,150957;-4,4409E-16;0,013235
3500;0,801729;1,852055;140,917193;3,55271E-15;0,013143
