Tempo;Ocupação;E[N];E[W];Erro Little
100;1.142241;1.404915;46.830503;0.00000000000000022204
200;1.476017;1.872132;124.808768;-0.00000000000000022204
300;0.984011;1.581421;158.142101;-0.00000000000000022204
400;1.041013;1.466391;146.639062;0.00000000000000000000
500;0.843373;1.331102;133.110182;0.00000000000000044409
600;1.109134;1.307819;112.098759;0.00000000000000066613
700;0.950687;1.406702;140.670187;0.00000000000000088818
800;1.087947;1.456332;166.437992;0.00000000000000066613
900;0.967064;1.715226;140.336693;0.00000000000000044409
1000;0.986591;2.040309;170.025740;0.00000000000000044409
1100;0.896901;2.218463;203.359074;0.00000000000000000000
1200;1.248452;2.193884;219.388399;0.00000000000000000000
1300;1.152417;2.223705;192.721140;-0.00000000000000088818
1400;1.070101;2.356396;206.184622;-0.00000000000000044409
1500;0.998761;2.532636;237.434622;0.00000000000000000000
1600;0.936339;2.761745;245.488461;-0.00000000000000044409
1700;1.046669;2.959899;279.546007;-0.00000000000000044409
1800;0.988521;3.128793;312.879341;-0.00000000000000177636
1900;0.944128;3.312941;331.294112;-0.00000000000000133227
2000;0.994152;3.373454;355.100454;-0.00000000000000133227
2100;0.946811;3.405123;357.537905;-0.00000000000000044409
2200;0.977021;3.378066;353.892592;-0.00000000000000310862
2300;0.946360;3.298959;361.314599;-0.00000000000000177636
2400;0.978100;3.195211;333.413350;-0.00000000000000222045
2500;0.938976;3.186780;331.956211;-0.00000000000000266454
2600;0.952120;3.131181;339.211305;-0.00000000000000222045
2700;0.950165;3.040602;328.385061;-0.00000000000000222045
2800;0.966405;2.975466;308.566863;-0.00000000000000133227
2900;0.933081;2.907347;312.270567;-0.00000000000000177636
3000;0.912312;2.820504;302.196901;-0.00000000000000222045
3100;0.882883;2.731894;302.459734;0.00000000000000000000
3200;0.855293;2.646523;302.459734;0.00000000000000000000
3300;0.833707;2.570657;292.523087;0.00000000000000088818
3400;0.809186;2.495050;292.523087;0.00000000000000088818
3500;0.786067;2.423763;292.523087;0.00000000000000133227
3600;0.792620;2.386143;277.100473;0.00000000000000088818
3700;0.795187;2.355620;281.154609;0.00000000000000133227
3800;0.783123;2.303168;265.213242;0.00000000000000133227
3900;0.765939;2.257940;266.847489;0.00000000000000222045
4000;0.746790;2.201492;266.847489;0.00000000000000222045
4100;0.751833;2.163375;260.877621;0.00000000000000133227
4200;0.733932;2.119362;261.803557;0.00000000000000133227
4300;0.716864;2.070075;261.803557;0.00000000000000133227
4400;0.718052;2.040211;256.483651;0.00000000000000044409
4500;0.702095;1.995163;256.520944;-0.00000000000000044409
4600;0.686832;1.951790;256.520944;-0.00000000000000044409
4700;0.696845;1.938700;239.786606;-0.00000000000000022204
4800;0.702956;1.962734;241.567292;-0.00000000000000088818
4900;0.720298;1.972441;241.623969;-0.00000000000000222045
5000;0.705892;1.972992;246.623969;-0.00000000000000177636
5100;0.693539;1.941345;247.521443;-0.00000000000000222045
5200;0.680202;1.904011;247.521443;-0.00000000000000222045
5300;0.667368;1.868086;247.521443;-0.00000000000000199840
5400;0.666051;1.845505;237.279155;-0.00000000000000333067
5500;0.657691;1.815700;232.240754;-0.00000000000000199840
5600;0.661288;1.793018;223.131079;-0.00000000000000444089
5700;0.669989;1.774613;219.897712;-0.00000000000000155431
5800;0.663892;1.784456;211.221289;-0.00000000000000155431
5900;0.657396;1.760434;207.731207;-0.00000000000000310862
6000;0.648096;1.732751;203.853019;-0.00000000000000266454
6100;0.637472;1.704345;203.853019;-0.00000000000000244249
6200;0.646785;1.697241;198.545138;-0.00000000000000044409
6300;0.664354;1.719928;197.009957;0.00000000000000111022
6400;0.653974;1.758699;197.467910;-0.00000000000000155431
6500;0.657457;1.809226;202.758134;-0.00000000000000666134
6600;0.671930;1.842926;209.712276;-0.00000000000000710543
6700;0.678804;1.876646;206.123369;-0.00000000000000754952
6800;0.685944;1.934027;215.596404;-0.00000000000000865974
6900;0.681869;1.977633;223.699478;-0.00000000000000976996
7000;0.681977;2.003544;226.206605;-0.00000000000000976996
7100;0.741141;2.044773;226.842005;-0.00000000000001154632
7200;0.730848;2.110729;226.824594;-0.00000000000001287859
7300;0.720836;2.191404;238.764893;-0.00000000000001332268
7400;0.711095;2.274752;243.958919;-0.00000000000001199041
7500;0.748958;2.377517;254.733987;-0.00000000000001065814
