Tempo;Erro Little 60;Erro Little 80;Erro Little 95;Erro Little 99
100;1,254640836E-11;-5,59019497E-12;1,76356707E-11;2,44426701E-12
200;-2,685518474E-11;3,042632812E-11;4,47286652E-12;8,02913291E-12
300;8,622302872E-11;4,975753143E-11;-1,0778933301E-10;5,084643817E-11
400;1,3986478642E-10;-4,974687329E-11;-3,427302886E-11;-3,545608251E-11
500;2,5072233178E-10;-3,0219116098E-10;-2,2263790811E-10;6,691891485E-11
600;3,7864089641E-10;-2,4439117396E-10;-2,6736834968E-10;2,630997642E-10
700;4,8470405467E-10;-3,6141489801E-10;-1,7532464369E-10;4,7127457492E-10
800;5,9421401133E-10;-1,3367129625E-10;1,1019984925E-10;4,7263881697E-10
900;7,0403771701E-10;3,3320057824E-10;5,2157922426E-10;1,6408563397E-10
1000;1,0863407951E-09;2,389941578E-10;4,5955239614E-10;1,9911539084E-10
1100;1,28135968502E-09;-1,0607426049E-10;4,4273562594E-10;-1,4870238374E-10
1200;1,41806211218E-09;3,0441738019E-10;2,913456143E-10;-3,2962077512E-10
1300;1,88431426018E-09;7,0260686158E-10;-1,5787016139E-10;-2,7881696951E-10
1400;1,7555561449E-09;1,6933832114E-10;-6,9011285575E-10;-4,0394354528E-10
1500;1,24932619805E-09;2,7743896069E-10;-4,1915271254E-10;-3,8693315219E-10
1600;1,25143939655E-09;-1,3264722654E-10;-3,0144597929E-10;-4,7327830544E-10
1700;1,05558495278E-09;8,847989008E-11;9,075051821E-11;-4,7756998356E-10
1800;1,15885856466E-09;6,168310307E-11;-3,0718183552E-10;-9,1250740297E-10
1900;1,34780697714E-09;7,2039529897E-10;-2,7409896575E-10;-4,1704595333E-10
2000;1,23929755347E-09;9,8284180794E-10;-3,3518965381E-10;4,4016701395E-10
2100;1,11243481093E-09;1,42368028477E-09;-3,4069103094E-10;-3,9193537305E-10
2200;5,7069282633E-10;9,6954000384E-10;-6,8461858405E-10;-4,6740922244E-10
2300;1,14653997407E-09;1,20836940454E-09;-3,2495250935E-10;1,3959322587E-10
2400;1,87877802205E-09;1,56881618807E-09;-6,251035245E-10;3,0667024475E-10
2500;1,8048764705E-09;3,9586200984E-10;-7,6323303233E-10;-3,784350611E-11
2600;2,68683697513E-09;4,9399195845E-10;7,6550676908E-10;4,2284398205E-10
2700;1,90508209208E-09;7,1410743985E-10;1,40667566484E-09;1,47548462337E-09
2800;2,46189824082E-09;3,05059000283E-09;1,89847426668E-09;1,94275173726E-09
2900;1,95244598267E-09;2,78928657949E-09;1,37690392421E-09;2,20248352889E-09
3000;1,37551570134E-09;2,55860443943E-09;6,1941207719E-10;1,4867396203E-09
3100;1,34218769432E-09;3,66451713418E-09;2,0251889055E-10;2,1793198357E-09
3200;1,08247077968E-09;4,91842211403E-09;-7,3207218065E-10;2,39492692344E-09
3300;4,6175752111E-10;3,4465577059E-09;-3,17449888598E-09;2,68202882125E-09
3400;2,78171996548E-09;4,69678473891E-09;-3,49790596488E-09;1,19699450352E-09
3500;4,06436972966E-09;6,2997069783E-09;-4,8696193744E-09;2,13579198771E-09
