Tempo;Ocupação;E[N];E[W];Erro Little;Lambda;E[N] Chamada;E[W] Chamada;Erro Little Chamada;Lambda Chamada
100;0.539523;5.368980;0.034293;-0.00000000000131427508;156.560000;2.960635;0.052032;0.00000000000188043656;56.900000
200;0.732294;399.572964;2.002270;-0.00000000009027287251;199.560000;258.606175;2.581286;-0.00000000003120639858;100.185000
300;0.707923;521.804300;2.833891;0.00000000008938355611;184.130000;298.536229;3.525602;-0.00000000002570932356;84.676667
400;0.731951;621.436958;3.198914;0.00000000005394046321;194.265000;369.105393;3.911465;-0.00000000002192612758;94.365000
500;0.785559;1493.286778;7.251922;0.00000000035142710963;205.916000;897.759552;8.477107;-0.00000000003107336610;105.904000
600;0.821302;1872.299990;9.070269;-0.00000000024365409690;206.421667;1071.151046;10.096467;0.00000000002697664314;106.091667
700;0.826350;1795.123778;8.787073;-0.00000000104850106375;204.291429;1023.285680;9.814749;0.00000000002975442115;104.260000
800;0.794767;1575.454641;7.918449;-0.00000000119352538963;198.960000;898.045290;9.086079;-0.00000000008281531017;98.837500
900;0.749653;1400.468001;7.317012;-0.00000000168946656665;191.398889;798.287239;8.744307;-0.00000000009638062570;91.292222
1000;0.748915;1260.712886;6.586728;-0.00000000042714964898;191.402000;718.624342;7.877234;-0.00000000005738587383;91.228000
1100;0.770757;1235.221056;6.310637;-0.00000000004567757284;195.736364;704.919297;7.370969;-0.00000000000527783373;95.634545
1200;0.757246;1148.303675;5.960672;-0.00000000133742827924;192.646667;654.879532;7.064250;-0.00000000040246705968;92.703333
1300;0.731552;1060.020904;5.628805;-0.00000000312867809438;188.320769;604.524777;6.832511;-0.00000000061554011888;88.477692
1400;0.744736;1001.155081;5.256077;-0.00000000351748286054;190.475714;571.137197;6.293671;-0.00000000037549602316;90.747857
1500;0.738199;938.433920;4.952959;-0.00000000395660620933;189.469333;535.336197;5.976291;-0.00000000028963437204;89.576667
1600;0.719077;879.820482;4.723266;-0.00000000383916781699;186.273750;501.893875;5.810512;-0.00000000054695031837;86.376875
1700;0.714978;828.340613;4.462165;-0.00000000364745245118;185.636471;472.522104;5.519663;-0.00000000066837083090;85.607059
1800;0.723404;784.596719;4.193126;-0.00000000223311014125;187.115000;447.575027;5.137192;-0.00000000055885310268;87.124444
1900;0.737581;783.781229;4.124296;-0.00000000099086688854;190.040000;448.044657;4.978623;-0.00000000080356146737;89.993684
2000;0.750702;973.415961;4.964875;-0.00000000041845704679;196.060500;587.765780;6.119150;-0.00000000087406004656;96.053500
2100;0.762573;1312.899365;6.745072;-0.00000000091262308821;194.645714;753.201523;7.960318;-0.00000000089756768684;94.619524
2200;0.763399;1283.428396;6.622453;-0.00000000031142100010;193.799545;733.712131;7.823873;-0.00000000103688307940;93.778636
