Tempo;Ocupação;E[N];E[W];Erro Little;Lambda;E[N] Chamada;E[W] Chamada;Erro Little Chamada
100;0,640683;27,887445;0,178126;0,00000000001550707306;156,560000;14,255417;0,250535;0,00000000000125299857
200;0,816751;752,050108;3,768541;0,00000000008925710171;199,560000;479,212034;4,783271;-0,00000000004312078472
300;0,840658;1330,806457;7,227537;0,00000000032695579577;184,130000;689,754836;8,145749;-0,00000000001587552312
400;0,844253;1349,899542;6,948753;0,00000000014069556631;194,265000;741,357621;7,856277;-0,00000000006711886602
500;0,875412;2798,009560;13,588111;0,00000000007770561972;205,916000;1651,181731;15,591307;-0,00000000011604250894
600;0,896169;4285,936131;20,763015;-0,00000000026883473225;206,421667;2368,292151;22,323074;-0,00000000008296696663
700;0,911002;5445,868327;26,657351;0,00000000038123282309;204,291429;2982,346434;28,604896;-0,00000000002124500575
800;0,922128;5946,639727;29,888619;0,00000000064467986505;198,960000;3111,210296;31,478035;-0,00000000000029154457
900;0,890212;5371,563956;28,064760;-0,00000000006372413708;191,398889;2768,093241;30,321238;-0,00000000023654833647
1000;0,888918;4836,124003;25,266842;0,00000000080560980109;191,402000;2492,170340;27,318042;-0,00000000053728599347
1100;0,899018;4642,156142;23,716371;0,00000000084000406630;195,736364;2406,087966;25,159193;-0,00000000061196847589
1200;0,899230;4480,658168;23,258426;-0,00000000096442898112;192,646667;2311,098852;24,930051;-0,00000000068082361970
1300;0,868718;4136,066087;21,962878;-0,00000000187256388173;188,320769;2133,353168;24,111763;-0,00000000088197738002
1400;0,877998;3910,959036;20,532586;-0,00000000148446765991;190,475714;2019,807425;22,257357;-0,00000000051345516727
1500;0,876611;3737,106719;19,724072;-0,00000000344353145998;189,469333;1927,824816;21,521507;-0,00000000111525644275
1600;0,853903;3503,590250;18,808824;-0,00000000315360426661;186,273750;1807,357040;20,924085;-0,00000000145209910762
1700;0,848907;3300,461004;17,779163;-0,00000000437346359128;185,636471;1702,546889;19,887926;-0,00000000184436810269
1800;0,856744;3141,779032;16,790632;-0,00000000315070391999;187,115000;1621,142481;18,607206;-0,00000000182445891728
1900;0,864286;3147,659684;16,563143;-0,00000000158552415641;190,040000;1637,327918;18,193809;-0,00000000127182664400
2000;0,871074;3511,791260;17,911773;-0,00000000115083964580;196,060500;1903,464024;19,816707;-0,00000000162062818720
2100;0,877210;4181,094142;21,480535;-0,00000000111791331747;194,645714;2286,140295;24,161401;-0,00000000139386902021
2200;0,882791;4639,992508;23,942226;-0,00000000137210731666;193,799545;2444,057682;26,061988;-0,00000000119407306265
2300;0,887889;5061,101908;25,815935;-0,00000000099909591711;196,045652;2712,930339;28,266220;-0,00000000086742879546
2400;0,892559;5433,939976;27,963574;-0,00000000556280710384;194,322083;2853,224092;30,244589;-0,00000000154765822380
2500;0,896857;5558,834343;28,657685;-0,00000000772044739250;193,973600;2892,530409;30,774088;-0,00000000090236418337
2600;0,886938;5402,111457;28,279832;-0,00000000736285299396;191,023462;2792,701676;30,673213;-0,00000000078340134380
2700;0,882804;5211,083427;27,268935;-0,00000000493370588828;191,099630;2695,123812;29,576660;0,00000000047148618343
2800;0,886991;5258,422054;27,304422;-0,00000000355639073746;192,585000;2736,925048;29,565548;0,00000000069900263355
2900;0,884792;5145,327730;26,975122;-0,00000000132299993183;190,743448;2659,279214;29,318057;-0,00000000000057198690
3000;0,881580;4990,563073;26,119987;-0,00000000292169488603;191,063000;2581,118321;28,376619;-0,00000000030412627972
3100;0,883495;4892,898326;25,671334;-0,00000000194821137001;190,597742;2528,835056;27,943526;-0,00000000026624014104
3200;0,885578;4812,164496;25,057362;-0,00000000360459617710;192,045938;2493,754685;27,130358;-0,00000000011928502630
3300;0,889044;4951,429263;25,437483;-0,00000000532990007684;194,650909;2601,425854;27,527963;-0,00000000001570654717
3400;0,892307;5302,506385;27,063269;-0,00000000418228340848;195,930000;2817,049680;29,420523;0,00000000019104717808
3500;0,895385;5641,809307;29,000129;-0,00000000075230000007;194,544286;2973,137657;31,494816;-0,00000000012844503239
3600;0,898290;5827,397156;29,927487;0,00000000212417550216;194,717222;3041,836312;32,157834;-0,00000000073733241734
3700;0,901039;5895,366415;30,494013;0,00000000088965812495;193,328649;3048,660795;32,701470;-0,00000000292692425852
3800;0,897186;5750,703293;29,789729;0,00000000374554787186;193,043158;2973,326665;31,986913;-0,00000000228381402678
3900;0,899822;5791,548779;29,831383;0,00000000011480905115;194,142821;3011,763485;32,006511;-0,00000000287017587475
4000;0,902327;5758,418081;29,760459;-0,00000000116156950725;193,492250;2977,508968;31,867681;-0,00000000405894184929
4100;0,901377;5623,111753;29,123553;-0,00000000120848442364;193,077805;2907,045856;31,252001;-0,00000000492412421949
4200;0,895797;5494,777418;28,565957;-0,00000000043948666928;192,354048;2840,843002;30,761383;-0,00000000492060436841
4300;0,888907;5367,712920;28,061150;-0,00000000267371769169;191,286279;2775,030054;30,406019;-0,00000000585038373302
4400;0,891427;5313,119994;27,562127;0,00000000456526150217;192,768864;2753,950407;29,698228;-0,00000000664775945403
4500;0,893840;5375,462002;27,816359;0,00000000442608216744;193,248222;2794,725389;29,984537;-0,00000000542991518415
4600;0,896148;5572,750694;28,437101;0,00000000668251942670;195,967609;2945,311477;30,704733;-0,00000000483223638881
4700;0,898357;6002,283089;30,475914;0,00000000337482086721;196,951702;3235,235491;33,377982;-0,00000000496110175163
4800;0,900475;6372,642003;32,598510;0,00000000261158206172;195,488750;3396,606771;35,586281;-0,00000000545936096330
4900;0,902507;6683,996924;34,068078;-0,00000000509651787439;196,195306;3520,855777;36,626139;-0,00000000564337598874
5000;0,904456;6893,478818;35,355779;-0,00000000579958658875;194,974600;3597,496166;37,891594;-0,00000000670177180417
5100;0,906330;6967,598026;35,691471;-0,00000001205386279679;195,217451;3615,993483;38,010447;-0,00000000567791524908
5200;0,908131;7013,173722;35,866484;-0,00000001856292985991;195,535577;3639,311375;38,121867;-0,00000000578871683921
5300;0,909864;7101,047419;36,244977;-0,00000000954358636562;195,918113;3692,611139;38,535514;-0,00000000784753906302
5400;0,911533;7210,124979;36,751455;-0,00000000922934706438;196,186111;3749,843642;39,021955;-0,00000000834633229196
5500;0,913142;7347,328978;37,190983;-0,00000000369019481639;197,556727;3836,941833;39,353837;-0,00000000929633325875
5600;0,914693;7763,830010;38,606470;-0,00000000704751634828;201,101786;4172,220761;41,277079;-0,00000001140600058847
5700;0,916190;8431,966854;41,751766;-0,00000000892049900614;201,954737;4673,736144;45,850753;-0,00000001080973710543
5800;0,917635;9161,541802;45,434675;-0,00000000562460833464;201,642069;5136,057962;50,549178;-0,00000001192438148223
5900;0,919031;9920,294687;49,149836;-0,00000000308951175754;201,837797;5544,853325;54,479536;-0,00000000914438924582
6000;0,920380;10654,189527;52,738117;-0,00000000368889097047;202,020667;5898,073819;57,840982;-0,00000000942784517122
6100;0,921685;11466,248580;56,369269;-0,00000000544458611529;203,413115;6350,724878;61,445403;-0,00000001048975928342
6200;0,922949;12258,711160;60,483275;-0,00000000517721243654;202,679355;6798,257222;66,242531;-0,00000000993990889597
6300;0,924171;13024,840427;63,855157;0,00000000011610357120;203,974762;7237,776140;69,622905;-0,00000001084357004189
6400;0,925356;13925,792954;68,113232;0,00000000175266112734;204,450625;7759,422915;74,289507;-0,00000000962156443407
6500;0,926505;14819,418558;72,302055;-0,00000000320225712613;204,965385;8281,466543;78,904059;-0,00000000984439108009
6600;0,927618;15765,010511;76,584210;-0,00000000635591224096;205,851970;8868,733341;83,795696;-0,00000000964969792960
6700;0,928698;16748,303082;81,458548;-0,00000000170110325826;205,605224;9438,791532;89,387675;-0,00000000892076812420
6800;0,929747;17651,899629;86,358469;0,00000000131999122743;204,402647;9915,341122;94,958213;-0,00000000779628894776
6900;0,930766;18478,322533;90,267002;-0,00000001235216551265;204,707391;10313,800711;98,505262;-0,00000000082295237291
7000;0,931755;19328,420992;94,447285;-0,00000001245122049909;204,647714;10704,039059;102,284456;-0,00000000242529551997
7100;0,932715;20140,446787;98,499860;-0,00000001276831618213;204,471831;11049,822054;105,764442;0,00000000041487346891
7200;0,933650;20963,822776;101,663521;-0,00000001352712786229;206,207917;11481,659416;108,072001;-0,00000000078092199374
7300;0,934559;21911,128695;105,787927;-0,00000001562436047209;207,123151;12064,788678;112,607265;-0,00000000431580371441
7400;0,935443;22920,727569;110,105315;-0,00000001519061854083;208,170946;12722,943166;117,584779;-0,00000000286258394766
7500;0,936304;23916,189187;115,084960;-0,00000000718310211312;207,813333;13385,631264;124,138886;-0,00000000228488605813
7600;0,937143;24916,805758;119,972051;-0,00000001121322945608;207,688421;14009,670086;130,032208;-0,00000000372195785303
7700;0,937959;25971,231121;124,146158;-0,00000000814679168570;209,198831;14630,175234;133,932798;-0,00000000469645122791
7800;0,938754;27126,270877;129,811633;0,00000000125140786622;208,966410;15320,107604;140,554422;0,00000000072935524287
7900;0,939529;28257,437008;135,241709;0,00000000438964242733;208,940253;15955,745773;146,416656;0,00000000035954528244
8000;0,940285;29358,893048;140,675435;0,00000000897762753027;208,699500;16547,073648;152,176065;0,00000000061662319695
8100;0,941022;30424,038186;145,811417;0,00000000896505625292;208,653333;17124,595849;157,549643;0,00000000180838455321
8200;0,941742;31446,051982;151,108079;0,00000000567128743967;208,103049;17667,722946;163,360924;0,00000000254610910133
8300;0,942443;32416,942552;156,294292;-0,00000000534484634329;207,409639;18116,700641;168,600954;0,00000000538861755217
8400;0,943129;33310,359603;161,029910;-0,00000001610629141169;206,858214;18468,893811;172,797777;0,00000000611916384230
8500;0,943798;34149,099654;165,187991;-0,00000001624581358328;206,728706;18791,132596;176,023913;0,00000000517980680570
8600;0,944451;34916,571485;169,428010;-0,00000001329158649810;206,085000;19069,770691;179,691203;0,00000000178185288746
8700;0,945090;35638,108657;172,805564;-0,00000000987625270454;206,232414;19315,148735;181,710022;0,00000000324956062059
8800;0,945714;36343,931920;175,602217;-0,00000000276925504750;206,967386;19593,199369;183,032760;0,00000000380097731068
8900;0,946324;37022,021651;179,211922;-0,00000000348530804217;206,582360;19929,116234;186,822739;0,00000000184400938963
9000;0,946920;37625,852644;182,548551;-0,00000000148136791722;206,114222;20219,462921;190,355570;-0,00000000190618543172
9100;0,947504;38193,848585;184,820607;0,00000000175701586613;206,653626;20520,601714;192,203355;-0,00000000482976680871
9200;0,948074;38801,877081;187,546768;0,00000000345499273635;206,891739;20858,106052;194,903496;-0,00000000313210613001
9300;0,948632;39447,195228;190,725668;-0,00000001003581218129;206,826882;21202,529137;198,268845;-0,00000000307720959825
9400;0,949179;40050,099598;193,608591;-0,00000001697887341834;206,861170;21522,386285;201,202009;-0,00000000246420661654
9500;0,949714;40615,782126;196,514199;-0,00000001175082786631;206,681158;21832,850142;204,457462;-0,00000000761693108586
9600;0,950238;41174,905002;199,332173;-0,00000002733115422870;206,564271;22111,061396;207,301120;-0,00000000590700288683
9700;0,950750;41736,430845;202,006163;-0,00000000848383763241;206,609691;22381,907837;209,720256;-0,00000000627026430777
9800;0,951253;42242,366087;205,327012;-0,00000003572263906904;205,732143;22595,921501;213,476297;-0,00000000869576410878
9900;0,951746;42670,304978;207,736144;-0,00000005594452190394;205,406263;22749,136428;215,577341;-0,00000001344828071126
10000;0,952228;43054,667437;210,022256;-0,00000007122731915388;205,000500;22873,943628;217,595914;-0,00000001363141954869
10100;0,952701;43342,700259;212,374336;-0,00000008862754796723;204,086337;22917,365852;219,907706;-0,00000001041446040517
10200;0,953165;43628,621256;212,606174;-0,00000010656722793101;205,208627;22973,549982;218,140681;-0,00000001276711536491
10300;0,953620;43968,448699;213,819892;-0,00000011359960794266;205,633107;23145,481807;218,957852;-0,00000000958936219320
10400;0,954066;44243,161266;215,732670;-0,00000010670107997157;205,083269;23314,961343;221,708597;-0,00000000918002207584
10500;0,954503;44468,189019;216,849389;-0,00000010509817727211;205,064857;23445,521022;222,980627;-0,00000001084834266862
10600;0,954932;44702,624034;218,312243;-0,00000009450605276129;204,764623;23544,839791;224,560396;-0,00000001355661360947
10700;0,955353;44906,555132;219,788829;-0,00000011254860510235;204,316822;23587,382733;225,896385;-0,00000001619917178175
10800;0,955767;45062,888992;220,505286;-0,00000010746461853728;204,361944;23621,211440;226,135676;-0,00000001529521043153
10900;0,956172;45243,830446;220,338539;-0,00000012580086306002;205,337798;23697,159063;224,750132;-0,00000001110195313458
11000;0,956571;45485,636186;221,254966;-0,00000011359303542235;205,580182;23872,552903;225,887520;-0,00000000993691173790
