Tempo;Ocupação;E[N];E[W];Erro Little;Lambda;E[N] Chamada;E[W] Chamada;Erro Little Chamada
100;0.404661;0.548266;0.003502;-0.00000000001754360535;156.560000;0.288104;0.005063;0.00000000000104706166
200;0.598803;39.415285;0.197511;-0.00000000000575918480;199.560000;25.849568;0.258018;-0.00000000001084805336
300;0.530942;26.452883;0.143664;0.00000000005814597935;184.130000;17.322549;0.204573;0.00000000002122720229
400;0.575210;37.313047;0.192073;0.00000000010946560325;194.265000;24.246514;0.256944;-0.00000000006429931067
500;0.627071;55.089995;0.267536;0.00000000025670110135;205.916000;35.738356;0.337460;-0.00000000009350668850
600;0.628589;46.076602;0.223216;-0.00000000051636024276;206.421667;29.884691;0.281687;-0.00000000003933973806
700;0.619762;40.149812;0.196532;-0.00000000050814295827;204.291429;26.057259;0.249926;0.00000000009427686583
800;0.596075;35.208727;0.176964;-0.00000000033573846828;198.960000;22.840924;0.231096;0.00000000015621175707
900;0.562239;31.338160;0.163732;-0.00000000015803532961;191.398889;20.319774;0.222579;0.00000000009566736812
1000;0.561882;28.283519;0.147770;0.00000000077492784238;191.402000;18.334668;0.200976;0.00000000035203564369
1100;0.581134;26.505487;0.135414;0.00000000073728153617;195.736364;17.178786;0.179630;0.00000000042141095821
1200;0.567935;24.394024;0.126626;-0.00000000134450420242;192.646667;15.803591;0.170475;0.00000000050681731902
1300;0.548664;22.549461;0.119740;-0.00000000257536578521;188.320769;14.602375;0.165040;-0.00000000010419939737
1400;0.558680;21.029865;0.110407;-0.00000000351531585091;190.475714;13.617902;0.150063;0.00000000073752687811
1500;0.553649;19.672591;0.103830;-0.00000000509524275723;189.469333;12.735037;0.142169;0.00000000091293398275
1600;0.539307;18.468976;0.099150;-0.00000000535143885975;186.273750;11.950621;0.138354;0.00000000081518420833
1700;0.536234;17.423901;0.093860;-0.00000000451802012989;185.636471;11.270610;0.131655;0.00000000072451150027
1800;0.542843;16.527645;0.088329;-0.00000000396784793910;187.115000;10.690000;0.122698;0.00000000086872870356
1900;0.555802;15.762945;0.082945;-0.00000000189853917223;190.040000;10.195768;0.113294;0.00000000129807598611
