Tempo;Ocupação;E[N];E[W];Erro Little;Lambda;E[N] Chamada;E[W] Chamada;Erro Little Chamada
100;0.370823;0.504202;0.003382;0.00000000003841105212;149.090000;0.248871;0.005102;0.00000000000179700699
200;0.467896;0.669573;0.003922;0.00000000007753631071;170.705000;0.375585;0.005320;-0.00000000000041761039
300;0.419742;0.584586;0.003659;0.00000000000057975846;159.766667;0.310264;0.005222;-0.00000000001704214547
400;0.491273;42.927715;0.240829;0.00000000020256152311;178.250000;29.964849;0.383048;-0.00000000006988187806
500;0.458144;58.874046;0.349658;0.00000000024636648277;168.376000;38.483675;0.565554;0.00000000013208278915
600;0.422566;49.112456;0.306458;0.00000000045722714503;160.258333;32.086017;0.533345;0.00000000011414158507
700;0.466269;65.220499;0.380764;0.00000000113070086627;171.288571;43.456142;0.611345;0.00000000016740386855
800;0.511677;85.871268;0.476025;0.00000000082023632331;180.392500;55.987245;0.699327;0.00000000026275870368
900;0.521955;76.445848;0.418438;0.00000000050209791880;182.693333;49.837896;0.604788;0.00000000034959413142
1000;0.510818;68.861582;0.382282;-0.00000000119651133446;180.133000;44.886102;0.561547;0.00000000024529356324
1100;0.495283;62.640777;0.354708;-0.00000000213506012869;176.598182;40.823739;0.533663;0.00000000010993517208
1200;0.515889;58.657962;0.323804;-0.00000000314726378292;181.152500;38.233998;0.471104;-0.00000000042430059466
1300;0.515043;54.201592;0.299680;-0.00000000303903391341;180.864615;35.325078;0.436336;-0.00000000029305624594
1400;0.533198;50.438359;0.272631;-0.00000000199586480676;185.005714;32.872216;0.386540;-0.00000000048006398856
1500;0.526444;47.126001;0.256834;-0.00000000206427586136;183.488000;30.708833;0.367477;-0.00000000046793147135
1600;0.514093;44.207254;0.244719;-0.00000000260650523387;180.645000;28.801211;0.356680;-0.00000000051098680842
1700;0.509962;41.641355;0.231719;-0.00000000165586300227;179.706471;27.125738;0.339771;-0.00000000048518344897
1800;0.493134;39.342084;0.223612;-0.00000000146319933947;175.938889;25.621817;0.336927;-0.00000000044790482434
1900;0.488910;37.347066;0.213443;-0.00000000209092121395;174.974737;24.320541;0.323849;-0.00000000036678571291
2000;0.502571;36.638979;0.205750;-0.00000000187197457535;178.075500;23.859704;0.305264;-0.00000000042572878556
2100;0.500142;35.426194;0.199518;-0.00000000109930198278;177.558571;23.063821;0.297324;-0.00000000065142913286
2200;0.504685;35.465133;0.198480;0.00000000032597569088;178.683636;23.119269;0.293698;-0.00000000099468522308
2300;0.522452;38.142824;0.208866;-0.00000000049617199238;182.618261;24.857158;0.300806;-0.00000000039020520148
2400;0.539712;53.318867;0.286068;0.00000000056011373317;186.385000;34.851682;0.403148;-0.00000000048213877335
2500;0.526852;51.196909;0.279006;0.00000000155687018832;183.497200;33.460354;0.400425;-0.00000000039337777480
2600;0.518682;49.243139;0.271078;0.00000000175269576630;181.656923;32.179916;0.393764;-0.00000000039109693262
2700;0.518214;47.448114;0.261369;-0.00000000042462744432;181.536667;31.004903;0.379876;-0.00000000015093348793
2800;0.530866;116.234388;0.625477;-0.00000000182197368304;185.833214;80.217747;0.933874;-0.00000000008481038094
2900;0.541275;179.335702;0.960284;-0.00000000148028789226;186.752759;117.334617;1.351776;0.00000000063279514961
3000;0.535552;173.373792;0.934890;-0.00000000121494281302;185.448333;113.431323;1.326113;0.00000000024607516025
3100;0.532324;167.800546;0.908535;-0.00000000295352720059;184.693548;109.782789;1.294397;-0.00000000016665069325
3200;0.529478;162.575885;0.883305;-0.00000000273087152891;184.054062;106.362549;1.263382;-0.00000000001199396138
3300;0.520659;157.658257;0.865814;-0.00000000431489866060;182.092424;103.142201;1.254406;0.00000000021795187877
3400;0.513663;153.031864;0.847669;-0.00000000378568643100;180.532647;100.112777;1.241034;0.00000000026078339488
3500;0.513175;148.679340;0.823974;-0.00000000843431280373;180.441714;97.263573;1.207617;0.00000000055982241065
3600;0.510630;144.564590;0.803847;-0.00000001083364509213;179.840833;94.569754;1.182623;0.00000000122473409192
3700;0.514596;140.685528;0.778400;-0.00000001703048724266;180.736757;92.031404;1.138074;0.00000000113593046080
3800;0.513647;137.000900;0.758930;-0.00000001377696889904;180.518421;89.619365;1.111232;0.00000000084303053427
3900;0.508172;133.497724;0.744601;-0.00000001069733457371;179.287692;87.325408;1.099511;0.00000000052507687087
4000;0.506531;130.174913;0.727465;-0.00000000854515747051;178.943250;85.150207;1.076907;0.00000000021704238407
4100;0.506481;127.018556;0.709821;-0.00000000612105566233;178.944390;83.084045;1.051051;0.00000000069560712745
4200;0.510463;125.796736;0.699476;-0.00000001025794915677;179.844286;82.271359;1.029256;0.00000000024787993880
4300;0.506294;122.881527;0.686751;-0.00000000893160745363;178.931628;80.362730;1.017286;-0.00000000004082778560
4400;0.517017;158.873554;0.873613;-0.00000000701527369529;181.857955;104.817939;1.279395;0.00000000378140896373
4500;0.519608;171.428297;0.942372;-0.00000000483768758386;181.911556;112.036086;1.366464;0.00000000279588618923
4600;0.519058;167.715855;0.922750;-0.00000000294676283374;181.756522;109.608628;1.338721;0.00000000314258841172
