Tempo;Ocupação;E[N];E[W];Erro Little;Lambda
100;0,59872;1,51783;0,01501;1,254640836E-11;101,12
200;0,598388;1,524504;0,015193;-2,685518474E-11;100,34
300;0,605254;1,539286;0,015277;8,622302872E-11;100,756667
400;0,601121;1,494031;0,014899;1,3986478642E-10;100,2775
500;0,601394;1,486106;0,014807;2,5072233178E-10;100,364
600;0,601202;1,479703;0,01476;3,7864089641E-10;100,248333
700;0,602784;1,484454;0,014793;4,8470405467E-10;100,347143
800;0,601311;1,481149;0,014754;5,9421401133E-10;100,38875
900;0,600056;1,476197;0,014716;7,0403771701E-10;100,314444
1000;0,599518;1,473618;0,014704;1,0863407951E-09;100,216
1100;0,599644;1,479694;0,014766;1,28135968502E-09;100,209091
1200;0,59927;1,476027;0,014749;1,41806211218E-09;100,079167
1300;0,599653;1,47749;0,014772;1,88431426018E-09;100,017692
1400;0,599047;1,472771;0,014724;1,7555561449E-09;100,028571
1500;0,598539;1,466345;0,014666;1,24932619805E-09;99,979333
1600;0,598738;1,463811;0,014655;1,25143939655E-09;99,884375
1700;0,598534;1,463269;0,014653;1,05558495278E-09;99,864118
1800;0,598903;1,464285;0,014655;1,15885856466E-09;99,92
1900;0,598888;1,460971;0,014628;1,34780697714E-09;99,872105
2000;0,598934;1,459092;0,014609;1,23929755347E-09;99,874
2100;0,599304;1,462667;0,014624;1,11243481093E-09;100,016667
2200;0,599193;1,463442;0,014634;5,7069282633E-10;100,003182
2300;0,599757;1,46884;0,014678;1,14653997407E-09;100,068696
2400;0,599768;1,467376;0,014662;1,87877802205E-09;100,077917
2500;0,599493;1,465396;0,014649;1,8048764705E-09;100,0368
2600;0,599669;1,464765;0,014641;2,68683697513E-09;100,047692
2700;0,599459;1,461963;0,014616;1,90508209208E-09;100,028148
2800;0,599748;1,464494;0,014639;2,46189824082E-09;100,038214
2900;0,599296;1,460986;0,014608;1,95244598267E-09;100,012414
3000;0,599364;1,462424;0,014628;1,37551570134E-09;99,977333
3100;0,599579;1,463103;0,014637;1,34218769432E-09;99,96
3200;0,599625;1,464407;0,014648;1,08247077968E-09;99,972813
3300;0,599636;1,465223;0,014652;4,6175752111E-10;100,002424
3400;0,599877;1,465837;0,014654;2,78171996548E-09;100,027647
3500;0,60004;1,467371;0,014672;4,06436972966E-09;100,011714
3600;0,600482;1,470616;0,014706;5,51787815439E-09;99,999722
3700;0,600426;1,472862;0,01473;3,53866136393E-09;99,993514
3800;0,600518;1,474445;0,014746;3,76662145918E-09;99,986842
3900;0,600555;1,475097;0,014751;2,7077953213E-09;99,997692
4000;0,600262;1,472703;0,01473;1,18742793376E-09;99,983
4100;0,600489;1,473987;0,014741;8,8740215176E-10;99,990976
4200;0,600391;1,472942;0,014731;1,06504693953E-09;99,98881
4300;0,600306;1,471409;0,014714;1,72360592465E-09;100,001163
4400;0,600315;1,470977;0,01471;2,5142077309E-09;99,998409
4500;0,600284;1,471679;0,014716;2,74017786239E-09;100,002667
4600;0,60015;1,471262;0,014718;2,75484901557E-09;99,966087
4700;0,600355;1,471802;0,01472;1,4260925774E-10;99,98617
4800;0,600407;1,469744;0,014697;1,56633395143E-09;100,003125
4900;0,600106;1,467932;0,014684;5,43992562108E-09;99,966735
5000;0,600013;1,468187;0,014691;4,51230097731E-09;99,936
5100;0,599824;1,468043;0,014694;3,28137095273E-09;99,906471
5200;0,600021;1,470632;0,014719;2,177021452E-09;99,915962
